rrr:RRR_00005	ko:K09773
rrr:RRR_00815	ko:K03199
rrr:RRR_00820	ko:K03201
rrr:RRR_00825	ko:K03201
rrr:RRR_00830	ko:K03201
rrr:RRR_00835	ko:K03201
rrr:RRR_00840	ko:K03201
rrr:RRR_00855	ko:K00554
rrr:RRR_00860	ko:K02884
rrr:RRR_00870	ko:K03074
rrr:RRR_00875	ko:K00335
rrr:RRR_00880	ko:K03100
rrr:RRR_00885	ko:K03685
rrr:RRR_00890	ko:K03595
rrr:RRR_00895	ko:K01159
rrr:RRR_00900	ko:K02533
rrr:RRR_00905	ko:K07276
rrr:RRR_00910	ko:K03593
rrr:RRR_00915	ko:K04088
rrr:RRR_00920	ko:K04087
rrr:RRR_00925	ko:K04771
rrr:RRR_00930	ko:K07146
rrr:RRR_00935	ko:K00241
rrr:RRR_00940	ko:K00242
rrr:RRR_00945	ko:K00239
rrr:RRR_00950	ko:K02029
rrr:RRR_00955	ko:K02950
rrr:RRR_00960	ko:K02992
rrr:RRR_00965	ko:K02355
rrr:RRR_00970	ko:K14235
rrr:RRR_00980	ko:K03073
rrr:RRR_00985	ko:K02601
rrr:RRR_00990	ko:K02867
rrr:RRR_00995	ko:K02863
rrr:RRR_01000	ko:K02864
rrr:RRR_01005	ko:K02935
rrr:RRR_01010	ko:K03043
rrr:RRR_01015	ko:K03046
rrr:RRR_01025	ko:K01255
rrr:RRR_01030	ko:K03496
rrr:RRR_01040	ko:K01876
rrr:RRR_01050	ko:K06890
rrr:RRR_01055	ko:K00215
rrr:RRR_01065	ko:K02030
rrr:RRR_01070	ko:K02434
rrr:RRR_01075	ko:K02433
rrr:RRR_01080	ko:K02435
rrr:RRR_01090	ko:K02838
rrr:RRR_01095	ko:K09903
rrr:RRR_01100	ko:K05569
rrr:RRR_01105	ko:K03446
rrr:RRR_01125	ko:K14234
rrr:RRR_01130	ko:K07277
rrr:RRR_01135	ko:K11749
rrr:RRR_01140	ko:K03625
rrr:RRR_01145	ko:K02427
rrr:RRR_01160	ko:K18588
rrr:RRR_01170	ko:K09761
rrr:RRR_01175	ko:K09779
rrr:RRR_01180	ko:K03296
rrr:RRR_01185	ko:K03530
rrr:RRR_01190	ko:K02341
rrr:RRR_01195	ko:K03106
rrr:RRR_01230	ko:K06867
rrr:RRR_01250	ko:K03926
rrr:RRR_01255	ko:K01737
rrr:RRR_01260	ko:K00658
rrr:RRR_01270	ko:K00164
rrr:RRR_01275	ko:K01299
rrr:RRR_01280	ko:K03631
rrr:RRR_01285	ko:K05807
rrr:RRR_01300	ko:K03686
rrr:RRR_01305	ko:K04043
rrr:RRR_01330	ko:K02340
rrr:RRR_01335	ko:K06134
rrr:RRR_01340	ko:K02276
rrr:RRR_01355	ko:K00674
rrr:RRR_01425	ko:K07080
rrr:RRR_01435	ko:K04755
rrr:RRR_01440	ko:K04044
rrr:RRR_01445	ko:K04082
rrr:RRR_01450	ko:K03470
rrr:RRR_01455	ko:K03702
rrr:RRR_01460	ko:K03676
rrr:RRR_01475	ko:K02469
rrr:RRR_01515	ko:K01462
rrr:RRR_01520	ko:K00604
rrr:RRR_01530	ko:K01980
rrr:RRR_01535	ko:K01985
rrr:RRR_01545	ko:K06916
rrr:RRR_01550	ko:K07568
rrr:RRR_01555	ko:K06867
rrr:RRR_01570	ko:K06147
rrr:RRR_01580	ko:K00425
rrr:RRR_01585	ko:K00426
rrr:RRR_01590	ko:K19159
rrr:RRR_01595	ko:K19158
rrr:RRR_01610	ko:K01923
rrr:RRR_01620	ko:K01868
rrr:RRR_01680	ko:K12340
rrr:RRR_01685	ko:K09991
rrr:RRR_01695	ko:K06867
rrr:RRR_01700	ko:K02622
rrr:RRR_01705	ko:K03797
rrr:RRR_01710	ko:K07716
rrr:RRR_01730	ko:K02871
rrr:RRR_01735	ko:K02996
rrr:RRR_01740	ko:K14230
rrr:RRR_01770	ko:K08311
rrr:RRR_01775	ko:K02356
rrr:RRR_01780	ko:K01092
rrr:RRR_01790	ko:K01613
rrr:RRR_01795	ko:K17103
rrr:RRR_01800	ko:K03543
rrr:RRR_01820	ko:K05527
rrr:RRR_01830	ko:K01924
rrr:RRR_01835	ko:K00075
rrr:RRR_01840	ko:K01921
rrr:RRR_01845	ko:K03589
rrr:RRR_01850	ko:K03590
rrr:RRR_01860	ko:K08738
rrr:RRR_01870	ko:K02535
rrr:RRR_01880	ko:K08300
rrr:RRR_01885	ko:K02259
rrr:RRR_01890	ko:K06179
rrr:RRR_01900	ko:K01142
rrr:RRR_01905	ko:K00161
rrr:RRR_01910	ko:K00162
rrr:RRR_01915	ko:K06207
rrr:RRR_01940	ko:K00031
rrr:RRR_01945	ko:K05571
rrr:RRR_01950	ko:K05566
rrr:RRR_01955	ko:K02194
rrr:RRR_01965	ko:K00411
rrr:RRR_01970	ko:K00412
rrr:RRR_01980	ko:K00413
rrr:RRR_02005	ko:K02836
rrr:RRR_02010	ko:K03596
rrr:RRR_02015	ko:K14220
rrr:RRR_02030	ko:K21498
rrr:RRR_02060	ko:K05837
rrr:RRR_02065	ko:K01354
rrr:RRR_02070	ko:K05568
rrr:RRR_02085	ko:K05568
rrr:RRR_02090	ko:K05568
rrr:RRR_02095	ko:K05567
rrr:RRR_02100	ko:K03204
rrr:RRR_02105	ko:K03203
rrr:RRR_02115	ko:K03203
rrr:RRR_02120	ko:K03204
rrr:RRR_02125	ko:K03195
rrr:RRR_02130	ko:K03196
rrr:RRR_02135	ko:K03205
rrr:RRR_02140	ko:K01524
rrr:RRR_02175	ko:K01082
rrr:RRR_02180	ko:K03555
rrr:RRR_02185	ko:K01808
rrr:RRR_02200	ko:K03465
rrr:RRR_02205	ko:K03641
rrr:RRR_02210	ko:K03089
rrr:RRR_02215	ko:K02258
rrr:RRR_02225	ko:K00566
rrr:RRR_02235	ko:K03294
rrr:RRR_02240	ko:K01892
rrr:RRR_02280	ko:K03562
rrr:RRR_02285	ko:K03560
rrr:RRR_02310	ko:K12537
rrr:RRR_02320	ko:K12536
rrr:RRR_02325	ko:K00133
rrr:RRR_02330	ko:K02503
rrr:RRR_02340	ko:K01419
rrr:RRR_02345	ko:K03667
rrr:RRR_02360	ko:K07391
rrr:RRR_02380	ko:K00748
rrr:RRR_02390	ko:K07082
rrr:RRR_02395	ko:K06202
rrr:RRR_02410	ko:K01885
rrr:RRR_02415	ko:K03168
rrr:RRR_02425	ko:K03386
rrr:RRR_02445	ko:K07447
rrr:RRR_02450	ko:K00067
rrr:RRR_02455	ko:K17716
rrr:RRR_02460	ko:K24258
rrr:RRR_02490	ko:K06889
rrr:RRR_02510	ko:K02986
rrr:RRR_02515	ko:K02257
rrr:RRR_02535	ko:K02860
rrr:RRR_02545	ko:K03602
rrr:RRR_02570	ko:K03652
rrr:RRR_02580	ko:K08998
rrr:RRR_02585	ko:K00334
rrr:RRR_02590	ko:K00333
rrr:RRR_02595	ko:K00332
rrr:RRR_02600	ko:K00331
rrr:RRR_02605	ko:K00330
rrr:RRR_02620	ko:K14222
rrr:RRR_02625	ko:K04763
rrr:RRR_02640	ko:K00208
rrr:RRR_02645	ko:K03820
rrr:RRR_02655	ko:K01447
rrr:RRR_02665	ko:K01989
rrr:RRR_02670	ko:K05832
rrr:RRR_02675	ko:K05833
rrr:RRR_02685	ko:K06867
rrr:RRR_02710	ko:K04566
rrr:RRR_02715	ko:K13936
rrr:RRR_02720	ko:K00029
rrr:RRR_02750	ko:K03762
rrr:RRR_02800	ko:K00024
rrr:RRR_02820	ko:K01937
rrr:RRR_02825	ko:K00979
rrr:RRR_02830	ko:K14229
rrr:RRR_02835	ko:K14227
rrr:RRR_02855	ko:K01495
rrr:RRR_02860	ko:K01881
rrr:RRR_02865	ko:K04095
rrr:RRR_02875	ko:K03550
rrr:RRR_02890	ko:K03551
rrr:RRR_02895	ko:K11085
rrr:RRR_02900	ko:K08218
rrr:RRR_02905	ko:K07258
rrr:RRR_02910	ko:K03642
rrr:RRR_02915	ko:K06190
rrr:RRR_02920	ko:K07243
rrr:RRR_02950	ko:K01520
rrr:RRR_02955	ko:K08309
rrr:RRR_02970	ko:K16899
rrr:RRR_02975	ko:K07010
rrr:RRR_02980	ko:K02274
rrr:RRR_02995	ko:K02275
rrr:RRR_03005	ko:K03101
rrr:RRR_03020	ko:K01925
rrr:RRR_03025	ko:K03588
rrr:RRR_03030	ko:K02563
rrr:RRR_03090	ko:K18139
rrr:RRR_03095	ko:K18139
rrr:RRR_03110	ko:K01778
rrr:RRR_03115	ko:K15865
rrr:RRR_03120	ko:K01889
rrr:RRR_03125	ko:K01890
rrr:RRR_03130	ko:K02338
rrr:RRR_03150	ko:K01869
rrr:RRR_03160	ko:K03684
rrr:RRR_03170	ko:K00981
rrr:RRR_03175	ko:K00806
rrr:RRR_03180	ko:K07638
rrr:RRR_03185	ko:K07659
rrr:RRR_03190	ko:K00826
rrr:RRR_03195	ko:K01714
rrr:RRR_03200	ko:K03664
rrr:RRR_03210	ko:K01902
rrr:RRR_03215	ko:K01903
rrr:RRR_03260	ko:K02834
rrr:RRR_03275	ko:K06187
rrr:RRR_03305	ko:K00858
rrr:RRR_03310	ko:K12574
rrr:RRR_03315	ko:K00057
rrr:RRR_03320	ko:K24180
rrr:RRR_03330	ko:K00384
rrr:RRR_03335	ko:K00135
rrr:RRR_03345	ko:K03657
rrr:RRR_03365	ko:K01338
rrr:RRR_03395	ko:K14221
rrr:RRR_03415	ko:K01491
rrr:RRR_03420	ko:K00384
rrr:RRR_03475	ko:K00525
rrr:RRR_03480	ko:K00526
rrr:RRR_03490	ko:K00791
rrr:RRR_03500	ko:K01840
rrr:RRR_03510	ko:K06861
rrr:RRR_03515	ko:K11719
rrr:RRR_03520	ko:K06041
rrr:RRR_03525	ko:K00962
rrr:RRR_03530	ko:K02956
rrr:RRR_03535	ko:K03177
rrr:RRR_03540	ko:K03301
rrr:RRR_03560	ko:K07058
rrr:RRR_03565	ko:K01915
rrr:RRR_03570	ko:K05810
rrr:RRR_03575	ko:K01462
rrr:RRR_03600	ko:K01006
rrr:RRR_03610	ko:K00799
rrr:RRR_03620	ko:K03523
rrr:RRR_03625	ko:K11754
rrr:RRR_03630	ko:K04564
rrr:RRR_03645	ko:K07001
rrr:RRR_03655	ko:K03524
rrr:RRR_03685	ko:K02520
rrr:RRR_03690	ko:K00627
rrr:RRR_03695	ko:K02835
rrr:RRR_03700	ko:K07462
rrr:RRR_03710	ko:K03628
rrr:RRR_03715	ko:K04773
rrr:RRR_03740	ko:K09861
rrr:RRR_03765	ko:K14233
rrr:RRR_03770	ko:K01867
rrr:RRR_03775	ko:K00655
rrr:RRR_03795	ko:K07018
rrr:RRR_03815	ko:K06895
rrr:RRR_03825	ko:K08218
rrr:RRR_03855	ko:K02523
rrr:RRR_03860	ko:K14219
rrr:RRR_03865	ko:K14223
rrr:RRR_03870	ko:K14223
rrr:RRR_03875	ko:K01262
rrr:RRR_03880	ko:K03294
rrr:RRR_03890	ko:K13628
rrr:RRR_03895	ko:K04488
rrr:RRR_03900	ko:K04487
rrr:RRR_03905	ko:K04487
rrr:RRR_03910	ko:K13643
rrr:RRR_03965	ko:K01823
rrr:RRR_03975	ko:K14218
rrr:RRR_03980	ko:K01358
rrr:RRR_03985	ko:K00945
rrr:RRR_03995	ko:K14237
rrr:RRR_04035	ko:K01749
rrr:RRR_04055	ko:K06980
rrr:RRR_04065	ko:K03684
rrr:RRR_04075	ko:K01934
rrr:RRR_04080	ko:K00382
rrr:RRR_04140	ko:K02919
rrr:RRR_04150	ko:K11528
rrr:RRR_04155	ko:K14233
rrr:RRR_04185	ko:K18554
rrr:RRR_04205	ko:K00343
rrr:RRR_04215	ko:K01698
rrr:RRR_04225	ko:K04066
rrr:RRR_04230	ko:K03186
rrr:RRR_04240	ko:K02314
rrr:RRR_04265	ko:K06178
rrr:RRR_04275	ko:K08316
rrr:RRR_04280	ko:K04485
rrr:RRR_04290	ko:K03584
rrr:RRR_04300	ko:K14742
rrr:RRR_04310	ko:K02519
rrr:RRR_04315	ko:K02600
rrr:RRR_04320	ko:K09748
rrr:RRR_04330	ko:K13771
rrr:RRR_04335	ko:K06442
rrr:RRR_04340	ko:K01866
rrr:RRR_04370	ko:K14219
rrr:RRR_04425	ko:K03185
rrr:RRR_04435	ko:K13599
rrr:RRR_04450	ko:K05515
rrr:RRR_04460	ko:K03587
rrr:RRR_04465	ko:K03586
rrr:RRR_04470	ko:K03438
rrr:RRR_04475	ko:K03925
rrr:RRR_04490	ko:K03703
rrr:RRR_04495	ko:K09796
rrr:RRR_04515	ko:K00567
rrr:RRR_04545	ko:K14218
rrr:RRR_04555	ko:K03070
rrr:RRR_04565	ko:K00997
rrr:RRR_04570	ko:K03060
rrr:RRR_04575	ko:K00790
rrr:RRR_04580	ko:K02470
rrr:RRR_04590	ko:K14228
rrr:RRR_04595	ko:K06213
rrr:RRR_04605	ko:K14225
rrr:RRR_04610	ko:K18918
rrr:RRR_04615	ko:K03210
rrr:RRR_04620	ko:K03072
rrr:RRR_04625	ko:K07152
rrr:RRR_04630	ko:K02197
rrr:RRR_04635	ko:K01507
rrr:RRR_04640	ko:K03980
rrr:RRR_04655	ko:K03655
rrr:RRR_04660	ko:K01028
rrr:RRR_04665	ko:K01029
rrr:RRR_04685	ko:K01000
rrr:RRR_04690	ko:K01929
rrr:RRR_04695	ko:K01928
rrr:RRR_04700	ko:K03723
rrr:RRR_04705	ko:K09159
rrr:RRR_04715	ko:K02313
rrr:RRR_04765	ko:K06942
rrr:RRR_04780	ko:K01056
rrr:RRR_04785	ko:K02897
rrr:RRR_04790	ko:K10026
rrr:RRR_04795	ko:K02916
rrr:RRR_04800	ko:K02887
rrr:RRR_04805	ko:K02914
rrr:RRR_04810	ko:K03536
rrr:RRR_04845	ko:K03284
rrr:RRR_04855	ko:K01977
rrr:RRR_04870	ko:K13598
rrr:RRR_04880	ko:K02970
rrr:RRR_04885	ko:K18587
rrr:RRR_04900	ko:K01870
rrr:RRR_04925	ko:K01965
rrr:RRR_04930	ko:K01966
rrr:RRR_04940	ko:K05939
rrr:RRR_04950	ko:K00568
rrr:RRR_04955	ko:K01885
rrr:RRR_04970	ko:K04077
rrr:RRR_04975	ko:K04078
rrr:RRR_05015	ko:K00989
rrr:RRR_05020	ko:K03687
rrr:RRR_05070	ko:K14237
rrr:RRR_05075	ko:K02968
rrr:RRR_05080	ko:K02879
rrr:RRR_05085	ko:K03040
rrr:RRR_05090	ko:K02948
rrr:RRR_05095	ko:K02952
rrr:RRR_05100	ko:K00939
rrr:RRR_05105	ko:K03076
rrr:RRR_05110	ko:K02876
rrr:RRR_05115	ko:K02907
rrr:RRR_05120	ko:K02988
rrr:RRR_05125	ko:K02881
rrr:RRR_05130	ko:K02933
rrr:RRR_05135	ko:K02994
rrr:RRR_05140	ko:K02954
rrr:RRR_05145	ko:K02931
rrr:RRR_05150	ko:K02895
rrr:RRR_05155	ko:K02874
rrr:RRR_05160	ko:K02961
rrr:RRR_05165	ko:K02904
rrr:RRR_05170	ko:K02878
rrr:RRR_05175	ko:K02982
rrr:RRR_05180	ko:K02890
rrr:RRR_05185	ko:K02965
rrr:RRR_05190	ko:K02886
rrr:RRR_05195	ko:K02892
rrr:RRR_05200	ko:K02926
rrr:RRR_05205	ko:K02906
rrr:RRR_05210	ko:K02946
rrr:RRR_05220	ko:K02358
rrr:RRR_05225	ko:K14225
rrr:RRR_05230	ko:K14236
rrr:RRR_05235	ko:K03218
rrr:RRR_05245	ko:K01679
rrr:RRR_05250	ko:K03531
rrr:RRR_05275	ko:K03704
rrr:RRR_05280	ko:K14228
rrr:RRR_05290	ko:K02528
rrr:RRR_05300	ko:K04744
rrr:RRR_05305	ko:K03601
rrr:RRR_05325	ko:K01142
rrr:RRR_05330	ko:K15383
rrr:RRR_05335	ko:K03977
rrr:RRR_05375	ko:K03688
rrr:RRR_05380	ko:K03183
rrr:RRR_05385	ko:K10563
rrr:RRR_05390	ko:K00971
rrr:RRR_05440	ko:K03424
rrr:RRR_05445	ko:K01874
rrr:RRR_05450	ko:K00943
rrr:RRR_05460	ko:K03179
rrr:RRR_05465	ko:K01873
rrr:RRR_05485	ko:K09760
rrr:RRR_05525	ko:K03544
rrr:RRR_05535	ko:K06920
rrr:RRR_05550	ko:K14226
rrr:RRR_05555	ko:K06147
rrr:RRR_05570	ko:K07552
rrr:RRR_05575	ko:K09808
rrr:RRR_05580	ko:K09810
rrr:RRR_05595	ko:K03699
rrr:RRR_05600	ko:K02198
rrr:RRR_05655	ko:K05349
rrr:RRR_05665	ko:K04764
rrr:RRR_05675	ko:K03564
rrr:RRR_05680	ko:K02517
rrr:RRR_05685	ko:K00912
rrr:RRR_05695	ko:K07115
rrr:RRR_05700	ko:K01972
rrr:RRR_05710	ko:K00773
rrr:RRR_05730	ko:K02067
rrr:RRR_05740	ko:K03469
rrr:RRR_05745	ko:K09985
rrr:RRR_05750	ko:K09949
rrr:RRR_05755	ko:K00859
rrr:RRR_05760	ko:K02342
rrr:RRR_05765	ko:K14998
rrr:RRR_05770	ko:K16898
rrr:RRR_05785	ko:K00645
rrr:RRR_05805	ko:K14233
rrr:RRR_05855	ko:K03301
rrr:RRR_05870	ko:K06189
rrr:RRR_05875	ko:K07042
rrr:RRR_05890	ko:K03644
rrr:RRR_05895	ko:K00600
rrr:RRR_05900	ko:K06999
rrr:RRR_05905	ko:K07390
rrr:RRR_05910	ko:K10773
rrr:RRR_05935	ko:K16348
rrr:RRR_05950	ko:K07056
rrr:RRR_05960	ko:K03116
rrr:RRR_05965	ko:K01095
rrr:RRR_05970	ko:K02888
rrr:RRR_05975	ko:K02899
rrr:RRR_05980	ko:K00928
rrr:RRR_06030	ko:K15371
rrr:RRR_06035	ko:K03650
rrr:RRR_06055	ko:K03553
rrr:RRR_06060	ko:K00059
rrr:RRR_06065	ko:K02078
rrr:RRR_06070	ko:K09458
rrr:RRR_06075	ko:K15738
rrr:RRR_06090	ko:K07133
rrr:RRR_06095	ko:K00942
rrr:RRR_06105	ko:K03570
rrr:RRR_06110	ko:K03569
rrr:RRR_06115	ko:K11720
rrr:RRR_06120	ko:K14230
rrr:RRR_06125	ko:K03640
rrr:RRR_06135	ko:K00648
rrr:RRR_06140	ko:K02911
rrr:RRR_06150	ko:K03110
rrr:RRR_06180	ko:K02337
rrr:RRR_06185	ko:K00012
rrr:RRR_06200	ko:K03118
rrr:RRR_06205	ko:K01875
rrr:RRR_06215	ko:K03199
rrr:RRR_06245	ko:K07726
rrr:RRR_06250	ko:K00339
rrr:RRR_06255	ko:K00340
rrr:RRR_06260	ko:K00341
rrr:RRR_06265	ko:K00342
rrr:RRR_06270	ko:K02193
rrr:RRR_06275	ko:K00338
rrr:RRR_06280	ko:K00337
rrr:RRR_06285	ko:K00336
rrr:RRR_06295	ko:K27802
rrr:RRR_06300	ko:K02114
rrr:RRR_06305	ko:K02112
rrr:RRR_06310	ko:K02115
rrr:RRR_06315	ko:K02111
rrr:RRR_06320	ko:K02113
rrr:RRR_06325	ko:K00382
rrr:RRR_06330	ko:K04047
rrr:RRR_06360	ko:K05366
rrr:RRR_06365	ko:K06168
rrr:RRR_06400	ko:K03455
rrr:RRR_06405	ko:K09710
rrr:RRR_06465	ko:K14232
rrr:RRR_06470	ko:K02518
rrr:RRR_06475	ko:K06287
rrr:RRR_06480	ko:K06204
rrr:RRR_06485	ko:K03733
rrr:RRR_06495	ko:K17717
rrr:RRR_06515	ko:K03182
rrr:RRR_06545	ko:K03466
rrr:RRR_06550	ko:K01265
rrr:RRR_06560	ko:K03630
rrr:RRR_06585	ko:K05524
rrr:RRR_06590	ko:K02195
rrr:RRR_06595	ko:K11991
rrr:RRR_06600	ko:K13283
rrr:RRR_06615	ko:K09817
rrr:RRR_06645	ko:K03701
rrr:RRR_06650	ko:K03111
rrr:RRR_06670	ko:K14219
rrr:RRR_06675	ko:K09131
rrr:RRR_06680	ko:K04079
rrr:RRR_06685	ko:K00643
rrr:RRR_06700	ko:K03545
rrr:RRR_06705	ko:K03979
rrr:RRR_06710	ko:K01647
rrr:RRR_06720	ko:K21929
rrr:RRR_06725	ko:K06180
rrr:RRR_06740	ko:K02493
rrr:RRR_06745	ko:K07566
rrr:RRR_06750	ko:K01879
rrr:RRR_06755	ko:K01878
rrr:RRR_06770	ko:K09765
rrr:RRR_06790	ko:K01872
rrr:RRR_06795	ko:K06173
rrr:RRR_06800	ko:K03086
rrr:RRR_06805	ko:K02316
rrr:RRR_06815	ko:K03624
rrr:RRR_06820	ko:K00324
rrr:RRR_06825	ko:K00324
rrr:RRR_06835	ko:K02343
rrr:RRR_06840	ko:K09747
rrr:RRR_06860	ko:K06985
rrr:RRR_06880	ko:K18923
rrr:RRR_06885	ko:K02028
rrr:RRR_06890	ko:K06167
rrr:RRR_06900	ko:K07473
rrr:RRR_06905	ko:K19157
rrr:RRR_06910	ko:K07091
rrr:RRR_06915	ko:K02339
rrr:RRR_06920	ko:K14228
rrr:RRR_06925	ko:K01439
rrr:RRR_06950	ko:K03313
rrr:RRR_06960	ko:K03801
rrr:RRR_06965	ko:K11066
rrr:RRR_06970	ko:K14234
rrr:RRR_06975	ko:K02959
rrr:RRR_06980	ko:K02913
rrr:RRR_06985	ko:K03572
rrr:RRR_07000	ko:K03762
rrr:RRR_07005	ko:K00228
rrr:RRR_07015	ko:K08973
rrr:RRR_07020	ko:K01772
rrr:RRR_07025	ko:K01599
